Date,Cases,Deaths,Tests
2020-03-03,0,0,107
2020-03-04,0,0,155
2020-03-05,1,0,219
2020-03-06,1,0,219
2020-03-07,1,0,250
2020-03-08,7,0,318
2020-03-09,9,0,346
2020-03-10,11,0,656
2020-03-11,17,0,656
2020-03-12,22,0,656
2020-03-13,38,0,1232
2020-03-14,43,0,1822
2020-03-15,71,0,2315
2020-03-16,86,0,2797
2020-03-17,117,0,3075
2020-03-18,145,0,3841
2020-03-19,234,2,4298
2020-03-20,263,3,5185
2020-03-21,318,5,6184
2020-03-22,363,5,7013
2020-03-23,395,5,7486
2020-03-24,416,7,8040
2020-03-25,558,8,9219
2020-03-26,580,9,10065
2020-03-27,635,11,10896
2020-03-28,671,16,12669
2020-03-29,852,18,13452
2020-03-30,950,24,14463
2020-03-31,1065,30,15587
2020-04-01,1323,47,16518
2020-04-02,1414,55,17334
2020-04-03,1595,61,17841
2020-04-04,1746,73,19410
2020-04-05,2281,83,20414
2020-04-06,2561,92,21555
2020-04-07,2954,107,39599
2020-04-08,4342,121,48465
2020-04-09,5256,138,56681
2020-04-10,5897,169,65712
2020-04-11,6848,181,76506
2020-04-12,7519,193,87116
2020-04-13,7519,193,102216
2020-04-14,10303,230,109385
2020-04-15,11475,254,121468
2020-04-16,12491,274,121468
2020-04-17,13489,300,135895
2020-04-18,14420,348,143745
2020-04-19,15628,400,148011
2020-04-20,16325,445,155724
2020-04-21,17837,484,170400
2020-04-22,19250,530,185238
2020-04-23,20914,572,198349
2020-04-24,21648,634,218195
2020-04-25,25331,700,232747
2020-04-26,27517,728,232747
2020-04-27,28699,782,239563
2020-04-28,31190,854,267612
2020-04-29,33931,943,318252
2020-04-30,36976,1051,342498
2020-05-01,40459,1124,342498
2020-05-02,42534,1200,375096
2020-05-03,45928,1286,385492
2020-05-04,47372,1344,406579
2020-05-05,51189,1444,406579
2020-05-06,54817,1533,448020
2020-05-07,58526,1627,473190
2020-05-08,61847,1714,473190
2020-05-09,65015,1814,494250
2020-05-10,67307,1889,504930
2020-05-11,68822,1961,512869
2020-05-12,72059,2057,532169
2020-05-13,76306,2169,553302
2020-05-14,80604,2267,587292
2020-05-15,84495,2392,605383
2020-05-16,88541,2523,630482
2020-05-17,92273,2648,650613
2020-05-18,94933,2789,661132
2020-05-19,99483,2914,679582
2020-05-20,104020,3024,715423
2020-05-21,108769,3148,736500
2020-05-22,111698,3244,750526
2020-05-23,115745,3373,788341
2020-05-24,119959,3456,820967
2020-05-25,123979,3629,840922
2020-05-26,129751,3788,875721
2020-05-27,135905,3983,905278
2020-05-28,141779,4099,928797
2020-05-29,148285,4230,963617
2020-05-30,155671,4371,1012708
2020-05-31,164476,4506,1058874
2020-06-01,170039,4634,1076659
2020-06-02,174884,4767,1092646
2020-06-03,178914,4894,1115615
2020-06-04,183198,5031,1135831
2020-06-05,187400,5162,1154468
2020-06-06,191758,5301,1173003
2020-06-07,196515,5465,1191956
2020-06-08,199696,5571,1203985
2020-06-09,203736,5738,1227691
2020-06-10,208823,5903,1255756
2020-06-11,214788,6109,1282478
2020-06-12,220749,6308,1315417
2020-06-13,225132,6498,1338477
2020-06-14,229736,6688,1360839
2020-06-15,232992,6860,1376478
2020-06-16,237156,7056,1396605
2020-06-17,240908,7257,1417911
2020-06-18,244388,7461,1439767
2020-06-19,247925,7660,1461266
