Dia,PCR,PR,AG,Casos_Totales
2021-07-01,7885,28272,10013,46170
2021-07-02,7898,28286,10043,46227
2021-07-03,7904,28293,10067,46264
2021-07-04,7904,28293,10091,46288
2021-07-05,7912,28309,10124,46345
2021-07-06,7919,28322,10161,46402
2021-07-07,7929,28339,10201,46469
2021-07-08,7940,28343,10239,46522
2021-07-09,7951,28370,10267,46588
2021-07-10,7961,28379,10285,46625
2021-07-11,7961,28379,10292,46632
2021-07-12,7975,28386,10341,46702
2021-07-13,7991,28395,10377,46763
2021-07-14,8006,28404,10404,46814
2021-07-15,8016,28415,10436,46867
2021-07-16,8021,28418,10472,46911
2021-07-17,8034,28430,10508,46972
2021-07-18,8034,28433,10515,46982
2021-07-19,8049,28440,10548,47037
2021-07-20,8065,28442,10572,47079
2021-07-21,8080,28449,10614,47143
2021-07-22,8088,28453,10658,47199
2021-07-23,8104,28456,10684,47244
2021-07-24,8117,28460,10705,47282
2021-07-25,8117,28462,10712,47291
2021-07-26,8126,28466,10756,47348
2021-07-27,8141,28472,10776,47389
2021-07-28,8141,28473,10794,47408
2021-07-29,8141,28475,10805,47421
2021-07-30,8163,28477,10826,47466
2021-07-31,8169,28481,10840,47490
2021-08-01,8169,28486,10844,47499
2021-08-02,8179,28487,10873,47539
2021-08-03,8187,28489,10909,47585
2021-08-04,8192,28499,10939,47630
2021-08-05,8200,28503,10958,47661
2021-08-06,8201,28508,10977,47686
2021-08-07,8211,28513,10988,47712
2021-08-08,8211,28515,10991,47717
2021-08-09,8216,28517,11022,47755
2021-08-10,8226,28527,11043,47796
2021-08-11,8234,28537,11055,47826
2021-08-12,8238,28542,11075,47855
2021-08-13,8245,28546,11093,47884
2021-08-14,8257,28548,11101,47906
2021-08-15,8257,28550,11109,47916
2021-08-16,8261,28551,11131,47943
2021-08-17,8264,28560,11144,47968
2021-08-18,8269,28561,11157,47987
2021-08-19,8279,28563,11164,48006
2021-08-20,8281,28565,11169,48015
2021-08-21,8284,28568,11177,48029
2021-08-22,8284,28568,11178,48030
2021-08-23,8298,28572,11195,48065
2021-08-24,8301,28576,11200,48077
2021-08-25,8305,28577,11209,48091
2021-08-26,8306,28579,11224,48109
2021-08-27,8312,28580,11229,48121
2021-08-28,8319,28581,11239,48139
2021-08-29,8319,28581,11241,48141
2021-08-30,8319,28583,11246,48148
2021-08-31,8327,28587,11254,48168
2021-09-01,8328,28588,11268,48184
2021-09-02,8335,28593,11285,48213
2021-09-03,8335,28595,11287,48217
2021-09-04,8338,28596,11292,48226
2021-09-05,8338,28597,11293,48228
2021-09-06,8340,28598,11301,48239
2021-09-07,8341,28599,11309,48249
2021-09-08,8350,28599,11314,48263
2021-09-09,8353,28599,11318,48270
2021-09-10,8358,28601,11333,48292
2021-09-11,8360,28601,11335,48296
2021-09-12,8360,28604,11340,48304
2021-09-13,8363,28604,11351,48318
2021-09-14,8369,28604,11364,48337
2021-09-15,8370,28606,11370,48346
2021-09-16,8375,28607,11378,48360
2021-09-17,8380,28614,11388,48382
2021-09-18,8380,28615,11396,48391
2021-09-19,8386,28615,11398,48399
2021-09-20,8390,28616,11406,48412
2021-09-21,8396,28619,11408,48423
2021-09-22,8397,28621,11418,48436
2021-09-23,8400,28625,11435,48460
2021-09-24,8401,28625,11451,48477
2021-09-25,8405,28627,11474,48506
2021-09-26,8405,28629,11478,48512
2021-09-27,8406,28629,11488,48523
2021-09-28,8409,28630,11499,48538
2021-09-29,8411,28633,11507,48551
2021-09-30,8413,28635,11517,48565
2021-10-01,8417,28635,11523,48575
2021-10-02,8425,28637,11528,48590
2021-10-03,8425,28638,11530,48593
2021-10-04,8426,28638,11541,48605
2021-10-05,8430,28639,11551,48620
2021-10-06,8431,28641,11557,48629
2021-10-07,8433,28643,11564,48640
2021-10-08,8433,28643,11565,48641
2021-10-09,8437,28644,11571,48652
2021-10-10,8437,28644,11574,48655
2021-10-11,8439,28644,11581,48664
2021-10-12,8440,28645,11583,48668
