"top","left","bottom","right"
94.1916260617,60.359281437126,456.347295536786,469.46107784431
92.27545849834,490.53892215569,457.305379318466,879.52095808383
144.01198270906,22.035928143713,225.44910415187,441.67664670659
112.39521791362,292.21556886228,469.760468480308,645.74850299401
113.3533016953,84.311377245509,445.808373938304,480.95808383234
113.3533016953,482.87425149701,445.808373938304,878.5628742515
111.43713413194,84.311377245509,443.892206374944,481.91616766467
113.3533016953,480.95808383234,442.934122593264,882.39520958084
105.68863144186,190.65868263473,434.31136855814,463.7125748503
104.73054766018,475.20958083832,434.31136855814,775.08982035928
